Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1994;1.21;0.72;0.32;4.95;3.22;2.89;4.79;5.64;3.62;1.59;1.77;0.54;31.26
1995;0.45;0.15;2.98;2.91;3.18;3.3;3.56;3.23;2.34;3.07;0.68;0.62;26.47
1996;2;0.18;2.64;1.53;2.13;6.43;1.93;2.94;2.08;2.85;3.96;1.37;30.04
1997;1.63;0.92;1.63;2.32;3.05;2.59;9;3.23;1.85;2.71;0.26;0.38;29.57
1998;1.47;1.44;3.27;2.2;3.38;5.51;3.3;4.46;1.04;4.71;1.15;0.28;32.21
1999;2.07;1.13;0.81;6.47;5.32;3.76;8.74;6.2;0.56;0.92;1;0.49;37.47
2000;1.3;0.45;0.64;0.94;7.38;12.51;5.57;5.26;1.03;1.65;3.06;1.64;41.43
2001;0.91;1.06;1.39;7.3;7.18;5.05;2.46;4.77;3.82;1.71;2.06;1.39;39.1
2002;0.65;1.68;1.24;3.4;1.47;8.2;5;4.64;2.02;3.5;0.12;0.56;32.48
2003;0.31;0.65;2.28;2.54;4.65;4.74;3.39;0.34;1.58;0.52;0.99;1.35;23.34
2004;0.32;1.72;2.21;2.34;6.38;8.53;4.59;3.44;5.8;2.11;1.49;0.59;39.52
2005;1.16;1.19;1.98;1.77;3.54;3.72;5.13;4.04;7.13;0.88;2.26;0.59;33.39
2006;0.3;0.4;2.54;5.51;1.86;3.45;2.9;6.25;3.34;0.79;2.84;2.04;32.22
2007;0.53;1.65;3.21;1.11;3.35;4;1.07;14.07;7.4;3.4;0.18;1.21;41.18
2008;0.67;0.56;1.58;4.17;3.47;7.15;3.21;1.92;1.75;2.45;2.34;1.52;30.79
2009;0.64;0.79;0.88;2.09;3.77;3.33;3.51;4.16;1.28;7.57;0.45;2.22;30.69
2010;0.58;0.79;1.05;1.62;2.04;7.79;4.98;3.72;9.95;0.79;2.86;3.68;39.85
2011;0.84;0.77;3.51;4.03;3.92;5.2;4.18;0.96;2.47;0.29;0.38;1.21;27.76
2012;0.57;1.63;1.24;2.66;4.85;3.25;3.25;1.96;1.29;1.85;0.51;1.78;24.84
2013;0.78;1.22;2.85;6.79;12.26;6.86;2.14;1.8;1.22;2.98;1.76;1.1;41.76
2014;1;1.76;1.15;5.64;1.78;7.27;2.23;5.36;3.54;2.37;0.91;1.02;34.03
2015;0.71;0.65;1.07;4.93;5.25;4.46;4.94;3.16;2.88;1.26;3.08;3.21;35.6
2016;0.75;0.65;3.98;1.72;4.59;5.24;5.6;5.74;9.1;2.74;1.37;2.07;43.55
2017;2.12;1.66;2.87;4.55;3.07;3.71;2.35;4.17;2.17;5.09;0.42;0.51;32.69
2018;1.42;1.08;0.91;3.18;5.19;6.38;2.88;3.22;7.58;3.63;1.61;2.1;39.18
2019;1.23;2.97;1.47;3.93;9.42;9.08;7.38;1.54;8.35;5.71;2.89;1.19;55.16
2020;1.01;1.2;2.51;1.82;5;4.65;3.86;4.24;2.81;1.4;2.52;0.2;31.22
2021;1.14;0.65;2.08;0.81;4.1;1.46;4.13;6.74;1.63;1.63;1.89;1.41;27.67
2022;0.83;0.41;2.29;6.83;4.2;4.28;5.01;6.53;0.97;0.7;1.49;1.62;35.16
2023;2.41;2.54;3.38;3.01;4.51;1.34;2.18;1.51;3.43;4.78;0.11;1.14;30.34
2024;0.66;0.34;2.35;3.92;4.33;9.86;4.76;4.92;0.77;1.13;2.44;1.27;36.75
2025;0.02;0.48;2.79;4.85;1.92;6.38;3.33;6.81;4.15;1.15;1.52;0.94;34.34
