Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1994;2.09;1.51;1.27;10.32;1.72;2.16;1.42;3.76;1.18;2.85;4.9;1.52;34.7
1995;4.39;1.33;3.19;3.33;12.92;2.96;2.16;4.52;0.74;2.01;1.28;2.85;41.68
1996;3.27;0.52;3.06;7.97;4.34;3.72;6.33;1.57;2.86;2.67;6.5;0.86;43.67
1997;2.74;4.14;2.85;2.66;3.05;2;1.44;3.36;2.73;2.05;2.36;1.85;31.23
1998;2.88;2.93;6;4.63;3.62;6.9;6.39;2.35;1.86;2.51;2.72;0.83;43.62
1999;5.1;3.52;2.4;3.72;2.2;5.26;4.22;1.95;1.09;2.04;0.72;1.84;34.06
2000;1.23;3.11;1.88;1.84;5.84;8.22;2.25;3.64;2.62;2.6;2.79;1.35;37.37
2001;1.12;2.48;1.45;3.01;2.81;3.6;4;1.99;2.81;5.5;3.06;3.46;35.29
2002;3.16;0.83;3.67;4.25;7.81;5.26;1.47;4.12;2.44;4.78;1.14;2.02;40.95
2003;0.96;2;2.8;4.29;3.97;12.35;2.51;2.54;4.15;2.81;5.34;2.34;46.06
2004;3.97;0.85;4.36;1.94;9.75;0.83;5.52;4.1;0.23;3.21;5.74;1.77;42.27
2005;9.01;1.84;1.47;2.17;0.78;5.1;2.22;3.87;5.3;1.52;3.35;1.22;37.85
2006;1.63;0.46;3.26;2.1;2.88;2.37;2.73;2.27;1.28;3.66;5.25;2.04;29.93
2007;3.11;1.98;2.8;3.18;4.26;2.88;3.11;1.57;1.71;1.97;1.25;2.75;30.57
2008;1.98;4.6;8.39;3.76;10.84;1.89;7.5;1.59;9.77;1.23;1.86;4.55;57.96
2009;0.77;2.33;3.04;4.06;4.72;6.42;4.2;2.48;3.16;12.38;3.11;4.25;50.92
2010;1.2;2.09;2.35;3.01;4.64;4.04;6.69;3.62;3.73;1.06;5.34;1.3;39.07
2011;1.33;3.37;4.74;7.88;4.16;9.1;2.91;1.04;3.18;1.66;4.68;3.12;47.17
2012;2.34;2.01;3.33;7.3;1.7;1.97;0.72;4;3.03;2.5;1.4;2;32.3
2013;3.12;3.27;4.95;5.67;7.13;5.93;3.35;1.19;2.74;2.35;1.02;1.96;42.68
2014;1.67;1.48;1.55;8.38;3.98;5.26;1.59;5.06;4.2;5.08;2.46;2.72;43.43
2015;1.21;1.74;3;5.42;3.62;13.14;4.13;6.67;3.11;0.98;6.48;11.74;61.24
2016;0.8;0.8;2.29;4.49;4.67;1.29;8.37;5.77;4.95;3.15;3.73;1.13;41.44
2017;1.8;0.49;4.24;10.37;6;2.72;1.38;3.3;0.27;3.71;1.53;0.84;36.65
2018;1.23;5.25;7.12;2.28;5.05;3.09;2;4.66;2;3.2;2.74;3.98;42.6
2019;2.93;3.56;5.63;6.76;7.49;4.66;5.7;6.33;1.68;3.83;3.56;1.86;53.99
2020;6.49;2.67;3.85;5.02;5.47;2.71;9.07;4.71;0.9;3.67;3.84;1.6;50
2021;3.82;1.64;5.17;4.1;2.86;5.33;5.95;4.85;3.04;2.62;0.35;2.75;42.48
2022;1.35;3.56;4.79;3.4;6.23;1.79;12.22;5.78;1.73;3.68;2.45;1.96;48.94
2023;2.21;2.15;5.03;2.57;1.61;3.09;4.74;3.6;2.67;2.21;0.97;2.29;33.14
2024;4.03;0.4;2.16;8.16;6.04;1.12;8.39;1.38;5.75;0.82;9.68;2.88;50.81
2025;2.84;1.15;2.91;10.85;3.91;4.38;4.58;1.48;0.74;3.2;1.99;0.74;38.77
